name,current_version,latest_version,security_issues
lint-staged,12.4.0,15.2.11,No
lodash.merge,4.6.2,4.6.2,No
mini-css-extract-plugin,1.6.2,2.9.2,No
msw,0.36.8,2.6.8,No
prettier,2.6.2,3.4.2,No
react-refresh,0.9.0,0.16.0,No
serve,13.0.2,14.2.4,No
storybook-addon-apollo-client,4.0.11,7.3.0,No
storybook-react-i18next,1.0.20,3.1.8,No
style-loader,3.3.1,4.0.0,No
ts-jest,27.1.4,29.2.5,No
ts-node,10.7.0,10.9.2,No
tsconfig-paths-webpack-plugin,3.5.2,4.2.0,No
webpack,5.72.0,5.97.1,No
webpack-bundle-analyzer,4.5.0,4.10.2,No
webpack-cli,4.9.2,5.1.4,No
webpack-dev-server,4.8.1,5.2.0,No
webpack-merge,5.8.0,6.0.1,No
@airtm/logger,8.20.0,Unknown,No
@airtm/normalize-graphql-query,1.1.0,Unknown,No
@ampproject/remapping,2.1.2,Unknown,No
@apollographql/apollo-tools,0.5.3,Unknown,No
@aws-crypto/crc32,3.0.0,Unknown,No
@aws-crypto/sha256-browser,3.0.0,Unknown,No
@aws-crypto/sha256-js,3.0.0,Unknown,No
@aws-sdk/client-dynamodb,3.360.0,Unknown,No
@aws-sdk/client-s3,3.529.1,Unknown,No
@aws-sdk/client-sso,3.360.0,Unknown,No
@aws-sdk/core,3.529.1,Unknown,No
@aws-sdk/credential-provider-imds,3.357.0,Unknown,No
@aws-sdk/credential-provider-ini,3.360.0,Unknown,No
@aws-sdk/lib-dynamodb,3.360.0,Unknown,No
@aws-sdk/property-provider,3.357.0,Unknown,No
@aws-sdk/protocol-http,3.357.0,Unknown,No
@aws-sdk/shared-ini-file-loader,3.357.0,Unknown,No
@aws-sdk/signature-v4,3.357.0,Unknown,No
@aws-sdk/token-providers,3.360.0,Unknown,No
@aws-sdk/util-middleware,3.357.0,Unknown,No
@babel/compat-data,7.17.7,Unknown,No
@babel/helper-compilation-targets,7.17.7,Unknown,No
@babel/helper-module-imports,7.16.7,Unknown,No
@babel/helper-module-transforms,7.17.7,Unknown,No
@babel/helper-validator-option,7.16.7,Unknown,No
@babel/helpers,7.17.9,Unknown,No
@babel/highlight,7.17.9,Unknown,No
@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression,7.16.7,Unknown,No
@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining,7.16.7,Unknown,No
@babel/plugin-proposal-async-generator-functions,7.16.8,Unknown,No
@babel/plugin-proposal-class-properties,7.16.7,Unknown,No
@babel/plugin-proposal-class-static-block,7.17.6,Unknown,No
@babel/plugin-proposal-dynamic-import,7.16.7,Unknown,No
@babel/plugin-proposal-export-namespace-from,7.16.7,Unknown,No
@babel/plugin-proposal-json-strings,7.16.7,Unknown,No
@babel/plugin-proposal-logical-assignment-operators,7.16.7,Unknown,No
@babel/plugin-proposal-nullish-coalescing-operator,7.16.7,Unknown,No
@babel/plugin-proposal-numeric-separator,7.16.7,Unknown,No
@babel/plugin-proposal-optional-catch-binding,7.16.7,Unknown,No
@babel/plugin-proposal-optional-chaining,7.16.7,Unknown,No
@babel/plugin-proposal-private-methods,7.16.11,Unknown,No
@babel/plugin-proposal-private-property-in-object,7.16.7,Unknown,No
@babel/plugin-proposal-unicode-property-regex,7.16.7,Unknown,No
@babel/plugin-syntax-async-generators,7.8.4,Unknown,No
@babel/plugin-syntax-class-properties,7.12.13,Unknown,No
@babel/plugin-syntax-class-static-block,7.14.5,Unknown,No
@babel/plugin-syntax-dynamic-import,7.8.3,Unknown,No
@babel/plugin-syntax-export-namespace-from,7.8.3,Unknown,No
@babel/plugin-syntax-json-strings,7.8.3,Unknown,No
@babel/plugin-syntax-logical-assignment-operators,7.10.4,Unknown,No
@babel/plugin-syntax-nullish-coalescing-operator,7.8.3,Unknown,No
@babel/plugin-syntax-numeric-separator,7.10.4,Unknown,No
@babel/plugin-syntax-object-rest-spread,7.8.3,Unknown,No
@babel/plugin-syntax-optional-catch-binding,7.8.3,Unknown,No
@babel/plugin-syntax-optional-chaining,7.8.3,Unknown,No
@babel/plugin-syntax-private-property-in-object,7.14.5,Unknown,No
@babel/plugin-syntax-top-level-await,7.14.5,Unknown,No
@babel/plugin-transform-arrow-functions,7.16.7,Unknown,No
@babel/plugin-transform-async-to-generator,7.16.8,Unknown,No
@babel/plugin-transform-block-scoped-functions,7.16.7,Unknown,No
@babel/plugin-transform-block-scoping,7.16.7,Unknown,No
@babel/plugin-transform-classes,7.16.7,Unknown,No
